web-scraper-order,web-scraper-start-url,featured,featured-href,recommended,recommended-href
"1672450135-1","https://www.youtube.com/user/movieclipsTRAILERS/videos","Avatar: The Way of Water - Monolith (2022)","https://www.youtube.com/watch?v=0mV0Hhvc63Q","NVIDIA’s New AI: Paint With Your Words!
          
        
        
          
          

  
    
  
    Two Minute Papers
  
  
  
    Two Minute Papers
  





    •
    
  
  
    
    
    •
    
      20K views
    
      8 hours ago
    
  


  



          
          New","https://www.youtube.com/watch?v=VCLW_nZWyQY"
"1672450135-2","https://www.youtube.com/user/movieclipsTRAILERS/videos","Avatar: The Way of Water - Monolith (2022)","https://www.youtube.com/watch?v=0mV0Hhvc63Q","a-ha - Take On Me (Official Video) [Remastered in 4K]
          
        
        
          
          

  
    
  
    a-ha
  
  
  
    a-ha
  





    •
    
  
  
    
    
    •
    
      1.5B views
    
      12 years ago","https://www.youtube.com/watch?v=djV11Xbc914"
"1672450135-3","https://www.youtube.com/user/movieclipsTRAILERS/videos","Avatar: The Way of Water - Monolith (2022)","https://www.youtube.com/watch?v=0mV0Hhvc63Q","Making Of AVATAR: THE WAY OF WATER - Best Of Behind The Scenes & Visual Effects With James Cameron
          
        
        
          
          

  
    
  
    STREAM WARS
  
  
  
    STREAM WARS
  





    •
    
  
  
    
    
    •
    
      1.3M views
    
      8 days ago","https://www.youtube.com/watch?v=x_qm280q2e0"
"1672450135-4","https://www.youtube.com/user/movieclipsTRAILERS/videos","Avatar: The Way of Water - Monolith (2022)","https://www.youtube.com/watch?v=0mV0Hhvc63Q","Christmas is better in NYC
          
        
        
          
          

  
    
  
    jedcal
  
  
  
    jedcal
  





    •
    
  
  
    
    
    •
    
      126K views
    
      3 weeks ago","https://www.youtube.com/watch?v=EoiHgziNmsI&t=30s"
"1672450135-5","https://www.youtube.com/user/movieclipsTRAILERS/videos","Avatar: The Way of Water - Monolith (2022)","https://www.youtube.com/watch?v=0mV0Hhvc63Q","Prometheus
      
      
        

  
    
  
    YouTube Movies
  
  
  
    YouTube Movies
  






    •
    
  
  
    
    
    •
    
  


  



        Science fiction • 2012
      
      
        Buy or rentR","https://www.youtube.com/watch?v=kQDSNW1INzI&pp=sAQB"
"1672450135-6","https://www.youtube.com/user/movieclipsTRAILERS/videos","Avatar: The Way of Water - Monolith (2022)","https://www.youtube.com/watch?v=0mV0Hhvc63Q","M3GAN | Official Trailer 1
          
        
        
          
          

  
    
  
    Universal Pictures India
  
  
  
    Universal Pictures India
  






    •
    
  
  
    
    
    •
    
      2.4M views
    
      2 months ago","https://www.youtube.com/watch?v=ysgHwnT476Q"
"1672450135-7","https://www.youtube.com/user/movieclipsTRAILERS/videos","Avatar: The Way of Water - Monolith (2022)","https://www.youtube.com/watch?v=0mV0Hhvc63Q","Marvel Studios' Guardians of the Galaxy Vol. 2
      
      
        

  
    
  
    YouTube Movies
  
  
  
    YouTube Movies
  






    •
    
  
  
    
    
    •
    
  


  



        Action and adventure • 2017
      
      
        Buy or rentPG-13","https://www.youtube.com/watch?v=pn0L81iWv_w&pp=sAQB"
"1672450135-8","https://www.youtube.com/user/movieclipsTRAILERS/videos","Avatar: The Way of Water - Monolith (2022)","https://www.youtube.com/watch?v=0mV0Hhvc63Q","Avatar (2009) EXPLAINED! FULL RECAP! | Everything You NEED to Know Before Avatar: The Way of Water
          
        
        
          
          

  
    
  
    Chris & Justin: Film
  
  
  
    Chris & Justin: Film
  






    •
    
  
  
    
    
    •
    
      139K views
    
      1 month ago","https://www.youtube.com/watch?v=L_rWhEYQrZs"
"1672450135-9","https://www.youtube.com/user/movieclipsTRAILERS/videos","Avatar: The Way of Water - Monolith (2022)","https://www.youtube.com/watch?v=0mV0Hhvc63Q","AVATAR: THE WAY OF WATER (2022) Behind-the-Scenes Acting In The Volume
          
        
        
          
          

  
    
  
    FilmIsNow Movie Bloopers & Extras
  
  
  
    FilmIsNow Movie Bloopers & Extras
  




  Verified



    •
    
  
  
    
    
    •
    
      235K views
    
      8 days ago","https://www.youtube.com/watch?v=b-DVRCUhinQ"
"1672450135-10","https://www.youtube.com/user/movieclipsTRAILERS/videos","Avatar: The Way of Water - Monolith (2022)","https://www.youtube.com/watch?v=0mV0Hhvc63Q","One Day in the Coldest Village on Earth | Yakutia
          
        
        
          
          

  
    
  
    Kiun B
  
  
  
    Kiun B
  




  Verified



    •
    
  
  
    
    
    •
    
      34M views
    
      9 months ago","https://www.youtube.com/watch?v=lj5GXZaE7qs"
