Source,Target,Type,Id,Label,Weight,link
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=0mV0Hhvc63Q,Directed,0,,20,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=ykGKXbnH62Y,Directed,20,,18,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=5LJwMtnjidg,Directed,38,,20,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=ZA_BUQ7SLvU,Directed,58,,20,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=61CGV2GS-I4,Directed,78,,20,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=03Jaxi7hrco,Directed,98,,20,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=u1o8uz2lWck,Directed,118,,20,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=RHCRk8aTiWQ,Directed,138,,20,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=KqkJ2mSR7Mk,Directed,158,,20,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=ezqqfwYBipw,Directed,178,,20,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=O_xeYzHZytI,Directed,198,,4,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=r_oUqggHenY,Directed,202,,10,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=NjhGtWi1cu0,Directed,212,,20,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=qJjtKooVfOE,Directed,232,,20,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=VCLW_nZWyQY,Directed,252,,26,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=jvPPXbo87ds&t=3039s,Directed,266,,14,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=9KH89ovAwBk,Directed,267,,1,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=RYe0_NP6ots,Directed,268,,2,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=_OtDju-Cfoo,Directed,269,,1,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=r2Wyu4k2Wuo,Directed,270,,1,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=-HjOEfPURCg&pp=sAQB,Directed,271,,10,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=FoxtFTPxqKI,Directed,273,,2,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=j2QWHlKjBeY,Directed,274,,11,1
https://www.youtube.com/user/movieclipsTRAILERS/videos,https://www.youtube.com/watch?v=55XJ1ObZKaM&t=10s,Directed,276,,1,1
