web-scraper-order,web-scraper-start-url,featured,featured-href,recommended,recommended-href
"1672450998-253","https://www.youtube.com/user/WarnerBrosPictures/videos","Baz Luhrmann's ELVIS | Austin Butler’s Pre-Production Test Footage","https://www.youtube.com/watch?v=iBBwxV5Idd4","Tom Hanks and Austin Butler on their new film, 'Elvis' l GMA
          
        
        
          
          

  
    
  
    Good Morning America
  
  
  
    Good Morning America
  





    •
    
  
  
    
    
    •
    
      480K views
    
      6 months ago","https://www.youtube.com/watch?v=GNOTE35VJ2k"
"1672450998-254","https://www.youtube.com/user/WarnerBrosPictures/videos","Baz Luhrmann's ELVIS | Austin Butler’s Pre-Production Test Footage","https://www.youtube.com/watch?v=iBBwxV5Idd4","Elvis ""If I Can Dream"" Reaction | Asia and BJ
          
        
        
          
          

  
    
  
    Asia and BJ
  
  
  
    Asia and BJ
  





    •
    
  
  
    
    
    •
    
      76K views
    
      1 year ago","https://www.youtube.com/watch?v=F24SugWcu8M"
"1672450998-255","https://www.youtube.com/user/WarnerBrosPictures/videos","Baz Luhrmann's ELVIS | Austin Butler’s Pre-Production Test Footage","https://www.youtube.com/watch?v=iBBwxV5Idd4","The Continuity of Splines
          
        
        
          
          

  
    
  
    Freya Holmér
  
  
  
    Freya Holmér
  





    •
    
  
  
    
    
    •
    
      407K views
    
      3 weeks ago","https://www.youtube.com/watch?v=jvPPXbo87ds&t=3039s"
"1672450998-256","https://www.youtube.com/user/WarnerBrosPictures/videos","Baz Luhrmann's ELVIS | Austin Butler’s Pre-Production Test Footage","https://www.youtube.com/watch?v=iBBwxV5Idd4","Elvis - If I Can Dream (Official Live Performance)
          
        
        
          
          

  
    
  
    Elvis Presley
  
  
  
    Elvis Presley
  





    •
    
  
  
    
    
    •
    
      10M views
    
      9 years ago","https://www.youtube.com/watch?v=xA142IsjQiE"
"1672450998-257","https://www.youtube.com/user/WarnerBrosPictures/videos","Baz Luhrmann's ELVIS | Austin Butler’s Pre-Production Test Footage","https://www.youtube.com/watch?v=iBBwxV5Idd4","NVIDIA’s New AI: Paint With Your Words!
          
        
        
          
          

  
    
  
    Two Minute Papers
  
  
  
    Two Minute Papers
  





    •
    
  
  
    
    
    •
    
      20K views
    
      8 hours ago
    
  


  



          
          New","https://www.youtube.com/watch?v=VCLW_nZWyQY"
"1672450998-258","https://www.youtube.com/user/WarnerBrosPictures/videos","Baz Luhrmann's ELVIS | Austin Butler’s Pre-Production Test Footage","https://www.youtube.com/watch?v=iBBwxV5Idd4","'He found me': How Baz Luhrmann chose Austin Butler to play Elvis
          
        
        
          
          

  
    
  
    Magic Radio
  
  
  
    Magic Radio
  






    •
    
  
  
    
    
    •
    
      251K views
    
      6 months ago","https://www.youtube.com/watch?v=CPcwWeJ92VE"
"1672450998-259","https://www.youtube.com/user/WarnerBrosPictures/videos","Baz Luhrmann's ELVIS | Austin Butler’s Pre-Production Test Footage","https://www.youtube.com/watch?v=iBBwxV5Idd4","a-ha - Take On Me (Official Video) [Remastered in 4K]
          
        
        
          
          

  
    
  
    a-ha
  
  
  
    a-ha
  




  Official Artist Channel



    •
    
  
  
    
    
    •
    
      1.5B views
    
      12 years ago","https://www.youtube.com/watch?v=djV11Xbc914"
"1672450998-260","https://www.youtube.com/user/WarnerBrosPictures/videos","Baz Luhrmann's ELVIS | Austin Butler’s Pre-Production Test Footage","https://www.youtube.com/watch?v=iBBwxV5Idd4","10 Things Austin Butler Can't Live Without | GQ
          
        
        
          
          

  
    
  
    GQ
  
  
  
    GQ
  




  Verified



    •
    
  
  
    
    
    •
    
      2.1M views
    
      7 months ago","https://www.youtube.com/watch?v=ul4JrITa5zo"
"1672450998-261","https://www.youtube.com/user/WarnerBrosPictures/videos","Baz Luhrmann's ELVIS | Austin Butler’s Pre-Production Test Footage","https://www.youtube.com/watch?v=iBBwxV5Idd4","Harry Styles - Late Night Talking (Live from One Night Only in New York)
          
        
        
          
          

  
    
  
    Harry Styles
  
  
  
    Harry Styles
  




  Official Artist Channel



    •
    
  
  
    
    
    •
    
      2.6M views
    
      3 months ago","https://www.youtube.com/watch?v=LoMTK0HxPsA"
"1672450998-262","https://www.youtube.com/user/WarnerBrosPictures/videos","Baz Luhrmann's ELVIS | Austin Butler’s Pre-Production Test Footage","https://www.youtube.com/watch?v=iBBwxV5Idd4","One Day in the Coldest Village on Earth | Yakutia
          
        
        
          
          

  
    
  
    Kiun B
  
  
  
    Kiun B
  




  Verified



    •
    
  
  
    
    
    •
    
      34M views
    
      9 months ago","https://www.youtube.com/watch?v=lj5GXZaE7qs"
